Topic Category,Disclosure Title,Disclosure Description,Sector,Subsector
Critical Incident Risk Management,"Operational Safety, Emergency Preparedness & Response","Health, safety and emergency management is a critical issue for entities in the Chemicals industry. Technical failure, human error or external factors such as weather may result in accidental releases of chemical substances into the environment at
processing facilities or during storage and transportation. Furthermore, the combustible nature of some chemical substances, combined with the high operating temperatures and pressures involved in manufacturing, increases the risk of explosions, hazardous spills or other emergency situations. Such events may harm workers or people in nearby communities through the release of harmful air emissions and chemical substances, and they may impact the environment adversely. Entities may face operational disruptions, damage to facilities, reputational harm, and increased regulatory compliance and remediation costs in the event of a process incident. As such, strong process safety management may reduce operational downtime, mitigate costs and regulatory risk, and ensure workforce productivity.
More",Resource Transformation,Chemicals
GHG Emissions,Greenhouse Gas Emissions,"The Containers & Packaging industry generates direct (Scope 1) greenhouse gas (GHG) emissions from fossil fuel combustion in manufacturing and cogeneration processes. GHG emissions may result in regulatory compliance costs or penalties and operating
risks for entities. However, the financial effects may vary depending on the magnitude of emissions and the prevailing emissions regulations. The industry may be subject to increasingly stringent regulations as countries try to limit or reduce emissions. Entities that cost-effectively manage GHG emissions through greater energy efficiency, the use of alternative fuels or manufacturing process advances could benefit from improved operating efficiency and reduced regulatory risk, among other financial benefits.
More",Resource Transformation,Containers & Packaging
Air Quality,Air Quality,"In addition to greenhouse gases (GHGs), containers and packaging manufacturing may produce air emissions, which may include sulphur dioxides (SOx), nitrogen oxides (NOx) and particulate matter (PM). As with GHGs, these emissions typically stem from
fuel combustion to produce energy. Relative to other industries, the Containers & Packaging industry is a significant source of some of these emissions. Although related financial effects may vary depending on the magnitude of emissions and the prevailing regulations, entities face operating costs, regulatory compliance costs, regulatory penalties in the event of non-compliance and capital expenditures related to emissions management. As such, entities may manage the issue through technological process improvements or other strategies that can mitigate such impacts, improving financial performance and enhancing brand value.
More",Resource Transformation,Containers & Packaging
Energy Management,Energy Management,"Containers and packaging manufacturing is energy-intensive, with energy used to power processing units, cogeneration plants, machinery and non-manufacturing facilities. The type of energy used, amount consumed and energy management strategies depend
on the type of products manufactured. Typically, fossil fuels such as natural gas and biomass are the predominant form of energy used, while purchased electricity also may be a significant share. Therefore, energy purchases may be a significant share of production costs. An entity’s energy mix may include energy generated on site, purchased grid electricity and fossil fuels, and renewable and alternative energy. Trade-offs in the use of such energy sources include cost, reliability of supply, related water use and air emissions, and regulatory compliance and risk. As such, an entity’s energy intensity and energy sourcing decisions may affect its operating efficiency and risk profile over time.
More",Resource Transformation,Containers & Packaging
Water & Wastewater Management,Water Management,"Containers and packaging manufacturing requires water for various stages of production including in raw materials processing, process cooling and steam generation at on site cogeneration plants. Long-term historical increases in water scarcity and
cost, and expectations of continued increases—because of over-consumption and reduced supplies resulting from population growth and shifts, pollution and climate change—show the importance of water management. Water scarcity may result in a higher risk of operational disruption for entities with water-intensive operations, and can increase water procurement costs and capital expenditures. Meanwhile, containers and packaging manufacturing may generate process wastewater that must be treated before disposal. Non-compliance with water quality regulations may result in regulatory compliance and mitigation costs or legal expenses stemming from litigation. Reducing water use and consumption through increased efficiency and other water management strategies may result in lower operating costs over time and may mitigate financial effects of regulations, water supply shortages and community-related disruptions of operations.
More",Resource Transformation,Containers & Packaging
Waste & Hazardous Materials Management,Waste Management,"Containers and packaging manufacturing may generate hazardous process waste which may include heavy metals, spent acids, catalysts and wastewater treatment sludge. Entities face regulatory and operational challenges in managing waste because some
wastes are subject to regulations pertaining to its transport, treatment, storage and disposal. Waste management strategies include reduced generation, effective treatment and disposal, and recycling and recovery, if possible. Such activities, while requiring initial investment or operating costs, may reduce an entity’s long-term cost structure and mitigate the risk of remediation liabilities or regulatory penalties.
More",Resource Transformation,Containers & Packaging
Product Quality & Safety,Product Safety,"Container and packaging product safety is a critical factor for the industry since many products are used in consumer-facing applications including in the food and healthcare industries. Aspects of packaging safety include physical hazards and the
presence of potentially hazardous chemical substances. In the event of a product safety incident, products may be recalled or require redesign, possibly increasing costs to the manufacturer and resulting in reduced revenue and adverse impacts to brand value. As such, entities that proactively manage product safety risks may enhance their brand reputation and reduce adverse financial impacts.
More",Resource Transformation,Containers & Packaging
Product Design & Lifecycle Management,Product Lifecycle Management,"Containers and packaging entities face opportunities and challenges associated with the potential environmental impacts of their products throughout their lifecycle. Designing products with reduced use-phase and end-of-life environmental impacts is
an important opportunity for manufacturers. Demand for packaging produced with safer chemicals and using recycled and renewable materials continues to grow, along with demand for recyclable, reusable and compostable products. Although the lifecycle impact of products depends largely on their use and disposal, entities that effectively optimise such attributes during the design phase may gain a competitive advantage.
More",Resource Transformation,Containers & Packaging
Supply Chain Management,Supply Chain Management,"Containers and packaging manufacturing uses large quantities of raw materials including wood fibre and aluminium. Sustainable production of these materials is an important supply chain consideration for entities in the industry because adverse
environmental impacts could increase materials costs and affect the brand value of entities. To mitigate such risks, entities may implement supply chain vetting practices and implement third-party standards within internal operations and suppliers that certify that the materials were produced in a sustainable manner. Additionally, such actions may raise brand value and meet customer demand for sustainably produced packaging products, providing access to new markets and growth opportunities.
More",Resource Transformation,Containers & Packaging
Energy Management,Energy Management,"Electrical and electronic equipment entities may use significant amounts of energy. Purchased electricity is the largest share of energy expenditure in the industry, followed by purchased fuels. The type of energy used, amount consumed and energy
management strategies depend on the type of products manufactured. Including the use of electricity generated on site, grid-sourced electricity and alternative energy, an entity’s energy mix may be important in reducing the cost and increasing the reliability of energy supply and, ultimately, affecting the entity’s cost structure and exposure to regulatory shifts.
More",Resource Transformation,Electrical & Electronic Equipment
Waste & Hazardous Materials Management,Hazardous Waste Management,"Electrical and electronic equipment manufacturing may generate hazardous waste which includes heavy metals and wastewater treatment sludge. Entities face regulatory and operational challenges in managing waste, since some wastes are subject to
regulations governing their transport, treatment, storage and disposal. Waste management strategies include reduced generation, effective treatment and disposal, and recycling and recovery, if possible. Such activities, although requiring initial investment or operating costs, may reduce an entity’s long-term cost structure and mitigate the risk of remediation liabilities or regulatory penalties.
More",Resource Transformation,Electrical & Electronic Equipment
Product Quality & Safety,Product Safety,"The proper and safe functioning of electrical and electronic equipment is important because of the potential risks to customers, including electrical fires. In the event of a product safety incident, entities could be exposed to product liability
claims, revenue loss because of damaged reputation, redesign costs, recalls, litigation or fines. Proper safety procedures, tests and protocols for products may reduce the risk of such adverse impacts and strengthen an entity’s brand.
More",Resource Transformation,Electrical & Electronic Equipment
Product Design & Lifecycle Management,Product Lifecycle Management,"Electrical and electronic equipment entities face increasing challenges and opportunities associated with environmental and social externalities that may stem from the use of their products. Regulations are incentivising entities to reduce or
eliminate the use of harmful chemicals in their products. To a lesser extent, regulations and customers are encouraging entities to reduce the environmental footprint of their products in the use-phase, primarily in terms of energy intensity. Electrical and electronic equipment entities that develop cost-effective products and energy efficiency solutions may benefit from increased revenue and market share, stronger competitive positioning and enhanced brand value. Similarly, products with reduced chemical safety concerns may provide opportunities for increased market share.
More",Resource Transformation,Electrical & Electronic Equipment
Materials Sourcing & Efficiency,Materials Sourcing,"Electrical and electronic equipment entities are exposed to supply chain risks when critical materials are used in products. Entities in the industry manufacture products using critical materials with few or no available substitutes, many of which
are sourced in only a few countries that may be subject to geopolitical uncertainty. Entities in this industry also face competition because of increasing global demand for these materials from other sectors, which may result in price increases and supply risks. Entities that limit the use of critical materials by using alternatives, as well as secure their supply, may mitigate the potential for financial effects stemming from supply disruptions and volatile input prices.
More",Resource Transformation,Electrical & Electronic Equipment
Business Ethics,Business Ethics,"Electrical and electronic equipment manufacturers based in jurisdictions with stronger business ethics laws may be vulnerable to regulatory scrutiny of their business ethics because of operations in regions with weaker government enforcement of
business ethics laws. Some entities in this industry have been found in violation of corruption laws as well as anti-competitive behaviour. Unethical practices may jeopardise future revenue growth and may result in significant legal costs and a higher reputational risk. As such, strong governance practices can mitigate the risk of violations of business ethics laws and resulting regulatory penalties or brand-value impacts.
More",Resource Transformation,Electrical & Electronic Equipment
Energy Management,Energy Management,"Energy is a critical input in industrial machinery manufacturing. Purchased electricity is the largest share of energy expenditure in the industry, followed by purchased fuels. The type of energy used, amount consumed and energy management strategies
depend on the type of products manufactured. Including the use of electricity generated on site, grid-sourced electricity and alternative energy, an entity’s energy mix can influence the cost and reliability of energy supply and, ultimately, affect the entity’s cost structure and regulatory risk.
More",Resource Transformation,Industrial Machinery & Goods
Employee Health & Safety,Workforce Health & Safety,"Employees in industrial machinery manufacturing facilities face health and safety risks from exposure to heavy machinery, moving equipment and electrical hazards, among others. Creating an effective safety culture is critical to mitigate safety
incidents proactively, which may result in reduced healthcare costs, litigation and work disruption. By implementing strong safety protocols, including incident reporting and investigation, and promoting a culture of safety, entities can minimise safety-related expenses and potentially improve productivity in the long term.
More",Resource Transformation,Industrial Machinery & Goods
Product Design & Lifecycle Management,Fuel Economy & Emissions in Use-phase,"Many of the Industrial Machinery & Goods industry’s products are powered by fossil fuels and release greenhouse gases (GHGs) and other air emissions during use. Customer preferences for improved fuel economy combined with regulations restricting
emissions are increasing the demand for energy-efficient and lower-emission products in the industry. As such, entities that develop products with these characteristics may capture expanding market share, reduce regulatory risk and improve brand value.
More",Resource Transformation,Industrial Machinery & Goods
Materials Sourcing & Efficiency,Materials Sourcing,"Industrial machinery entities are exposed to supply chain risks when critical materials are used in products. Entities in the industry manufacture products using critical materials with few or no available substitutes, many of which are sourced in
only a few countries, which may be subject to geopolitical uncertainty. Entities in this industry also face competition because of increasing global demand for these materials from other sectors, which may result in price increases and supply risks. Entities that limit the use of critical materials by using alternatives, as well as securing supply, may mitigate financial effects stemming from supply disruptions and volatile input prices.
More",Resource Transformation,Industrial Machinery & Goods
Materials Sourcing & Efficiency,Remanufacturing Design & Services,"Industrial machinery and goods manufacturing uses large quantities of steel, iron, aluminium, glass, plastics and other materials. Remanufacturing industrial machinery systems (called ‘cores’) presents an opportunity for industrial machinery entities
to limit the quantity of raw materials needed to produce new machinery, as well as reduce the time and other resources required to produce finished goods. Remanufactured products also may create value from products otherwise destined for disposal or recycling. Industrial machinery entities may achieve cost savings by reusing end-of-life parts to build remanufactured machines, which may be resold to customers. Thus, remanufacturing in process and design may reduce demand for raw materials, decrease manufacturing costs and create new sales channels.
More",Resource Transformation,Industrial Machinery & Goods
Customer Privacy,Data Privacy,"Because of the prevalence of social media, location-based mobile applications and e-commerce, customers’ digital footprints offer a more complete picture of their habits than might otherwise be available to advertisers. Advertisers can collect or
purchase highly detailed information about buyers, and advertising strategies can be precisely targeted to potential buyers. As part of an industry that uses large quantities of data about private citizens, advertising and marketing entities must balance the potential benefits of targeted advertising with protecting customer data and privacy.
More",Services,Advertising & Marketing
Selling Practices & Product Labeling,Advertising Integrity,"Entities have a legal responsibility to ensure their products and services advertising is truthful and not deceptive. Although much of the regulatory compliance burden regarding advertising content and placement lies with the client, advertising
agencies play a vital role in the creation of advertising content and are responsible for advising clients regarding applicable regulations. Consumer protection laws provide guidance and restrictions on advertising to children and on advertising regulated products, such as alcohol and tobacco. Regulators may investigate advertising agency involvement in deceptive advertising and penalise the agency. Advertising and marketing entities exposed to these regulations and concerns have responded by participating in self-regulatory programmes that manage these areas.
More",Services,Advertising & Marketing
"Employee Engagement, Diversity & Inclusion",Workforce Diversity & Inclusion,"In the Advertising & Marketing industry, an entity gains competitive advantages from producing creative, innovative ideas. Entities in this industry compete for talented workers to create successful advertising campaigns. Larger entities have clients
around the world and must employ a diverse workforce to reach diverse audiences effectively. Connecting with a target market relies, to a significant extent, on employing a workforce that reflects the communities in that market. A diverse workforce is a critical factor in improving service outcomes and enhancing an advertising entity’s financial performance.
More",Services,Advertising & Marketing
Energy Management,Energy Management,"With many facilities open 24 hours a day, the Casinos & Gaming industry requires a large amount of energy to operate. Casino facilities often have few windows and therefore rely on their buildings’ mechanical systems for heating, ventilation, air-con
ditioning (HVAC) and lighting. Fossil fuel-based energy production and consumption contribute to significant environmental impacts, including climate change and pollution, and have the potential to impact casino entities’ results of operations. Entities that rely on electricity consumption for their operations increasingly must manage energy efficiency as well as energy availability, including the risks and opportunities associated with energy sourcing from fossil fuels or from renewable and alternative energy sources.
More",Services,Casinos & Gaming
Customer Welfare,Responsible Gaming,"Although the main purpose of gambling is entertainment, the industry faces a negative perception often related to pathological gambling. In addition to pathological gambling, which is a progressive addiction characterised by increasing preoccupation
with gambling, customers also may experience problem gambling, a less severe form of pathological gambling. Although casinos do not cause problem gambling, they provide opportunities to gamble and may earn disproportionately greater revenue from pathological and problem gamblers. Responsible gambling entities adopt industry best practices to mitigate negative effects of problem gambling that may result from violations of self-exclusion lists, irresponsible advertising, gambling by minors, or instances in which the entity has otherwise enabled gambling problems. Highly-publicised incidents related to pathological and problem gambling may damage entities’ reputations and result in regulatory curtailment of their licences to operate.
More",Services,Casinos & Gaming
Employee Health & Safety,Smoke-free Casinos,"Casino facilities are usually climate-controlled environments with internal air circulation, and they have a relatively high concentration of employees and customers. Although anti-smoking campaigns have helped some regions enact smoking bans for
public places, many casinos remain exempt from such bans. Smoke exposes employees and customers to increased risks of heart attacks, cancers, and other illnesses. Studies have shown that casino dealers exposed to second-hand smoke have higher-than-average rates of respiratory illness. Entities that derive a significant portion of their revenue from smoking customers may be negatively affected by smoking bans. Alternatively, by creating smoke-free facilities, casino operators may attract more non-smoking patrons.
More",Services,Casinos & Gaming
Business Ethics,Internal Controls on Money Laundering,"By the nature of its business, the Casinos & Gaming industry may be attractive to criminals seeking to launder money or disguise the origin of funds. Risk factors include customer anonymity, accessibility to multiple facilities and the large amount
of cash transactions in each facility. Therefore, strict and robust internal controls are necessary for entities to prevent violations of reporting and money laundering regulations. Casino operators that fail to detect and prevent money laundering activities may be subjected to criminal investigations. Violations of anti-money laundering laws and regulations could result in criminal prosecution or substantial regulatory penalties.
More",Services,Casinos & Gaming
Data Security,Data Security,"Colleges and universities are frequent and compelling targets for cyber criminals. The industry may face data security risks because of the large number of personal records processed and stored, the mix of intellectual property and personally
identifiable information held (for example, national identification numbers, vaccination records or other information required for admission), and the open, collabourative environment of many campuses. The exposure of sensitive information through cybersecurity breaches, other malicious activities or student negligence may result in significant social externalities such as identity fraud and theft. Data breaches may compromise public perception of the effectiveness of a school’s security measures, which may result in reputational damage and difficulty in attracting and retaining students, as well as significant costs to fix the consequences of a breach and prevent future breaches. Enhanced disclosure regarding the number and nature of security breaches, management strategies to address these risks, and policies and procedures to protect student information may allow investors to understand the effectiveness of management strategies that schools employ regarding this issue.
More",Services,Education
Customer Welfare,Quality of Education & Gainful Employment,"Increasing tuition payments require more students to finance their education with government and private loans. Rapid growth in student debt creates significant economic and social negative externalities if student loans go into default. Many
programmes at for-profit colleges prepare students for gainful employment in recognised occupations. Entities that provide high-quality education and facilitate completion of programmes increase the chances of graduates obtaining employment and paying their loans. In the absence of sufficient educational and career management support, students may graduate with high debt and few skills valued by employers. Entities that perform poorly on accountability metrics such as graduation rates, default rates and job placement rates may jeopardise important governmental funding sources. At the same time, transparent disclosure of these metrics to prospective students is related directly to institutions’ ability to attract and retain students.
More",Services,Education
Selling Practices & Product Labeling,Marketing & Recruiting Practices,"For-profit education entities that grow the number of students that they admit and enrol will increase revenue. Therefore, entities may adopt aggressive recruitment strategies, such as spending significant amounts of money on marketing rather than on
instruction and student services. Such aggressive recruiting practices have resulted in additional public and regulatory scrutiny of for-profit education entities. Using false or misleading advertisements to recruit prospective students may result in significant fines for entities and loss of eligibility for government-funded student loans. Limited funding sources may create incentives for entities to mislead students into taking private loans they are unable to repay, presenting a significant reputational risk to entities in the industry. Enhanced disclosure may allow investors to understand entity policies and practices for marketing and recruiting to attract students.
More",Services,Education
Energy Management,Energy Management,"Hotel buildings require a significant amount of energy to operate, which is a substantial portion of hotel operating expenses. The industry purchases the majority of its electricity commercially. This purchased electricity indirectly results in
greenhouse gas (GHG) emissions, which is a significant contributor to climate change. Entities in the industry are implementing energy management best practices to reduce operating expenses and environmental impacts and to improve their brand value with guests, who increasingly are concerned about environmental sustainability.
More",Services,Hotels & Lodging
Water & Wastewater Management,Water Management,"Hotel buildings require a relatively large amount of water resources to operate. Although water is not the industry’s greatest operating cost, reduced water availability or significant price increases could affect financial results. This effect may
be particularly acute in water-stressed regions because of supply constraints. Entities in the industry are implementing water management best practices to reduce operating expenses and environmental impacts and to improve their brand value with guests, who increasingly are concerned about environmental sustainability.
More",Services,Hotels & Lodging
Ecological Impacts,Ecological Impacts,"Healthy ecosystems are linked with the economic and financial performance of local communities and businesses. The influx of tourists and the resulting waste generated by hotels may present risks to sensitive ecosystems such as coral reefs and nature
preserves. Poor environmental protection practices may preclude hotels from obtaining new construction licences in these sensitive areas and could, in the long term, diminish natural attractions for tourists that generate revenue for communities and hotels. In contrast, environmental protection may make travel destinations more attractive and increase demand.
More",Services,Hotels & Lodging
Labour Practices,Labour Practices,"The Hotels & Lodging industry is reliant upon labour to operate large facilities. A service-oriented workforce that provides guests with a pleasant stay is an important value driver for hotel entities. This, combined with labour force dynamics, may
create low job satisfaction that can result in high turnover and potential lawsuits and contribute to increased expenses for hotel operators. Hotels that foster anti-discriminatory practices and ensure fair wages may improve worker satisfaction and reduce turnover.
More",Services,Hotels & Lodging
Physical Impacts of Climate Change,Climate Change Adaptation,"Hotels operating in climate change-exposed areas may be impacted by physical climate risks including inclement weather and flooding. Inclement weather may damage property and disrupt operations, thereby reducing asset values and revenues. In
addition, hotels may face higher insurance premiums for buildings located in coastal regions or may be unable to insure their properties. Hotel operators will likely need to adapt to shifting climate trends such as rising sea levels, hurricanes, and flooding in order to maintain their climate-exposed revenue-generating properties.
More",Services,Hotels & Lodging
Energy Management,Energy Management,"Leisure facilities entities operate large outdoor and indoor facilities that may consume a significant amount of energy. Most of the industry’s electricity is purchased commercially, which indirectly results in greenhouse gas (GHG) emissions, a
significant contributor to climate change. Entities in the industry are implementing energy management best practices to reduce operating expenses and environmental impacts and to improve their brand value with guests, who increasingly are concerned about environmental sustainability.
More",Services,Leisure Facilities
Product Quality & Safety,Customer Safety,"Leisure facility entities operate parks and facilities that expose guests to potentially unsafe conditions that may result in injury and even death. Safety management therefore includes managing amusement park ride and ski slope safety as well as
operating buildings where large crowds of people may be present, such as sporting and concert venues. The industry is subject to mainly low-probability but high-magnitude safety concerns. Ensuring the highest safety standards may minimise reputational damage to brand value and liabilities from costly lawsuits.
More",Services,Leisure Facilities
Employee Health & Safety,Workforce Health & Safety,"Safety concerns in the Leisure Facilities industry may expose employees to injuries if facilities and equipment are not maintained, or if precautions and training procedures are ineffective. Amusement park rides, ski slopes and other facilities may
expose employees to potentially unsafe conditions that result in injury or even death. Potential financial consequences associated with employee safety violations include regulatory fines, abatement costs and negative effects on brand reputation. These effects may stem from accidents as well as from chronic safety issues.
More",Services,Leisure Facilities
Customer Welfare,Media Pluralism,"Media pluralism, which is diversity in the broadest sense, includes both external and internal pluralism. External pluralism refers to media ownership, independent editorial boards, channels, titles or programmes. Internal pluralism refers to the
social, racial/ethnic and political diversity represented in media content. Media and entertainment entities may ensure pluralism by maintaining on- and off-screen diversity and by safeguarding the independence of editorial boards and programming.
More",Services,Media & Entertainment
Selling Practices & Product Labeling,Journalistic Integrity & Sponsorship Identification,"Audiences rely on journalists for accurate and timely information on current events. Principles of journalism include accuracy, fairness, minimisation of harm, independence, accountability and transparency. Failure to adhere to these principles may
affect not only the credibility of the journalist, but also the entity responsible for publishing or broadcasting these materials. As regulations around the disclosure of sponsorship and endorsement evolve, transparency is important for both journalism and entertainment content.
More",Services,Media & Entertainment
Competitive Behaviour,Intellectual Property Protection & Media Piracy,"Entities in this industry rely on intellectual property (IP) to generate revenue. However, although IP protection is inherent to their business model, strong IP protections may sometimes conflict with the interests of society. Proponents of IP
protection assert its importance as a driver of innovation. Opponents argue that assigning ownership may stifle innovation and competition by enabling the creation of monopolies. Despite the industry’s best efforts, media piracy is rampant, and entities devote significant resources to protecting and enforcing IP rights. Media and entertainment entities therefore must balance protecting their IP with ensuring access to media and allowing fair use.
More",Services,Media & Entertainment
Data Security,Data Security,"Entities in every segment of the industry are entrusted with customer data. Employment and temporary staffing agencies as well as data providers and consulting entities store, process and transmit increasing amounts of sensitive personal data about
employees, clients and candidates. In addition, the clients of financial and non-financial services providers may handle sensitive information and share this information with professional and commercial services entities. The exposure of sensitive customer information through cybersecurity breaches, other malicious activities or employee negligence may result in significant risks such as identity fraud and theft. Data breaches may compromise client perception of the effectiveness of a service provider’s security measures, which may result in reputational damage and affect an entity’s ability to attract and retain clients adversely.
More",Services,Professional & Commercial Services
"Employee Engagement, Diversity & Inclusion",Workforce Diversity & Engagement,"Developing a broad base of valued, respected and supported employees throughout an organisation is essential for the long-term growth prospects of professional and commercial services entities. Human capital is the primary source of revenue
generation, contributing knowledge, talent, advice and various technical skills. Although financial and non-financial service providers may hire a diverse workforce among lower-level employees, they may lack diversity among senior management. Enhancing workforce diversity, particularly among management positions, may help entities attract and develop the best talent. Significant employee engagement, fair treatment and equitable levels of pay and advancement opportunities for all workers are all likely to contribute to increased productivity and performance through all levels of the entity.
More",Services,Professional & Commercial Services
Business Ethics,Professional Integrity,"The business model of professional and commercial services entities is dependent on client trust and loyalty. To ensure long-term and mutually beneficial relationships, entities must provide services that meet the highest professional standards of
the industry. Professional integrity is an important industry governance issue because the collective actions of professionals inside a single organisation may make the detection and prevention of conflicts of interest, bias or negligence more challenging. Training employees adequately, providing advice and distributing data free from bias and error, and taking other measures to ensure professional integrity, are important both for strengthening an entity’s licence to operate as well as for attracting and retaining clients.
More",Services,Professional & Commercial Services
Water & Wastewater Management,Water Management,"The manufacturing of computers, computer components and other electronics requires significant volumes of water. Water is becoming a globally scarce resource because of increasing consumption from population growth, rapid urbanisation and climate
change. Without careful planning, water scarcity may result in higher supply costs, social tensions with local communities and governments, or loss of access to water in water-scarce regions thereby presenting a critical risk to production and revenue. Electronic Manufacturing Services (EMS) & Original Design Manufacturing (ODM) entities that improve water use efficiency may reduce operating costs and maintain a lower risk profile, ultimately affecting cost of capital and market valuation. Furthermore, entities that prioritise water use efficiency may reduce regulatory risks as applicable jurisdictional environmental laws or regulations place more emphasis on resource conservation.
More",Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing
Waste & Hazardous Materials Management,Waste Management,"The manufacturing of computers, computer components and other electronics requires significant volumes of chemicals and generates air and water emissions and solid waste, including hazardous substances. The handling and disposal of hazardous wastes
produced during manufacturing may result in increased operating costs, capital expenditures, and in some instances, increased compliance costs or regulatory fines and penalties. Entities in the Electronic Manufacturing Services (EMS) & Original Design Manufacturing (ODM) industry that reduce waste produced during manufacturing and ensure it is appropriately reused, recycled or disposed may have a lower risk profile and face lower regulatory risks as applicable jurisdictional environmental laws or regulations place increasing emphasis on resource conservation and waste management.
More",Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing
Labour Practices,Labour Practices,"Electronic Manufacturing Services (EMS) & Original Design Manufacturing (ODM) entities operate in a highly cost competitive environment and are therefore sensitive to labour costs and risks. Additionally, customers commonly require entities to meet
tight production deadlines for important product launches, such as releases of new technology by hardware entities. Combined, these factors increase the importance of entities maintaining good relations with labour. Poor labour relations may expose entities to work stoppages and production disruptions. Such disruptions may result in reduced near-term revenue, as well as possible adverse effects on long-term productivity because of lower employee morale. In addition to maintaining an entity’s brand value and social licence to operate, improvements in labour practices may mitigate production disruptions.
More",Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing
Employee Health & Safety,"Workforce Conditions, Health & Safety","The treatment of workers and the protection of workers’ rights in the Electronic Manufacturing Services (EMS) & Original Design Manufacturing (ODM) industry is of growing concern among customers, regulators and leading entities. Critical aspects of
this issue may include working conditions, environmental responsibility and workforce health and safety—particularly relating to hazardous materials and potentially dangerous manufacturing equipment. Entities in this industry operate in a cost competitive environment and therefore rely upon low-cost and contract labour. The industry’s reliance on subcontractors, labour recruitment entities and a multi-tiered system of suppliers may make safety performance improvement difficult. Further, entities often are located in countries with relatively low direct costs and varying degrees of regulation and enforcement for protecting workers. This dynamic may increase an entity’s exposure to reputational risks and impacts on short- and long-term costs and sales. Such effects may result from increasing regulation and enforcement in response to high-profile safety or labour incidents, or through a shift in demand away from entities associated with such incidents. Entities with strong supply-chain standards, monitoring and engagement with suppliers to manage labour concerns may better protect shareholder value over the long term.
More",Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing
Product Design & Lifecycle Management,Product Lifecycle Management,"Entities in the Electronic Manufacturing Services (EMS) & Original Design Manufacturing (ODM) industry, along with the industry’s customers such as hardware entities, face increasing challenges associated with environmental externalities attributed
to product manufacturing, transport, use and disposal. Rapid obsolescence of hardware products may worsen such externalities. The industry’s products commonly contain hazardous materials, making safe end-of-life disposal a critical aspect to manage. Entities unable to minimise the environmental externalities of their products may face increased regulatory costs as jurisdictional environmental laws or regulations place more emphasis on resource conservation and waste management. Through product innovation that facilitates end-of-life product recovery and the use of less impactful materials, EMS & ODM manufacturers can achieve improvements in lifecycle impacts, reduce regulatory risks and realise cost savings.
More",Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing
Materials Sourcing & Efficiency,Materials Sourcing,"Entities in the Electronic Manufacturing Services (EMS) & Original Design Manufacturing (ODM) industry rely on numerous critical materials as important inputs for finished products. Many of these inputs have few or no available substitutes and often
are sourced in a few countries, many of which may be subject to geopolitical uncertainty. Other sustainability impacts related to climate change, land use, resource scarcity and conflict in regions where the industry’s supply chain operates are also increasingly shaping the industry’s ability to source materials. Additionally, increased competition for these materials because of growing global demand from other sectors may result in price increases and supply risks. Since entities commonly source materials from supply chains that often lack transparency, they may face increasing difficulty managing potential materials shortages, supply disruptions, price volatility and reputational risks. Failure to effectively manage sourcing may constrain access to necessary materials, reduce margins, impair revenue growth or increase costs of capital.
More",Technology & Communications,Electronic Manufacturing Services & Original Design Manufacturing
Data Security,Product Security,"The hardware products and related software offered by entities in the Hardware industry may have vulnerabilities that expose consumers to data security threats. Therefore, hardware manufacturers must help ensure user data security. Such
vulnerabilities may occur at any stage of a product lifecycle, including product design, the manufacturing supply chain, product distribution and the product’s use-phase. Entities in the industry unable to identify vulnerabilities may risk exposing consumer data to security threats and potentially eroding the trust of their customer base. Cybersecurity threats create both risks and opportunities for the Hardware industry, as effective product security may be a source of competitive advantage for entities, potentially increasing their sales and market share. Additionally, user concerns about data security and related government actions may also serve as revenue-generating opportunities for securing government contracts and providing security products.
More",Technology & Communications,Hardware
"Employee Engagement, Diversity & Inclusion",Employee Diversity & Inclusion,"Greater workforce diversity is important for innovation since it helps entities understand the needs of a diverse and global customer base, which results in the ability to design desirable products and communicate with customers effectively. Entities
unable to attract and retain diverse talent may risk losing market share to competitors that successfully employ a staff capable of recognising the needs of diverse populations and capturing demand from segments of the population that have been traditionally overlooked. Furthermore, entities perceived as being more representative of a diverse, global customer base may increase brand loyalty which also may be a source of competitive advantage. Entities successful in recruiting and retaining a diverse and inclusive workforce also may achieve lower employee turnover rates, resulting in cost savings.
More",Technology & Communications,Hardware
